,title,recommended_movies
3174,The Big Combo,"['State Property 2', 'The Narrow Margin', 'Billy Bathgate', 'The Krays', 'Little Caesar']"
3175,Conceiving Ada,"['Between Strangers', 'Teknolust', 'Flatliners', 'The Nasty Girl', 'Lawnmower Man 2: Beyond Cyberspace']"
3176,Eaten Alive,"['A Hole in the Head', 'Attack of the Giant Leeches', ""The Mummy's Curse"", 'The Good Son', 'Tenebre']"
3177,Raining Stones,"['Honeysuckle Rose', 'Rocket Gibraltar', 'The Inheritance', 'Sweet Nothing', 'P.S. Your Cat Is Dead!']"
3178,"To Sir, with Love","['Blackboard Jungle', 'All About Lily Chou-Chou', 'Stand and Deliver', 'Light It Up', 'The Substitute']"
3179,With Byrd at the South Pole,"[""It's All True"", 'Fahrenhype 9/11', 'Phish: Bittersweet Motel', 'Just an American Boy', 'Shadows']"
3180,Boiler Room,"['A Prayer for the Dying', 'The Girl', 'The Proprietor', 'Slaves of New York', 'The Hot Spot']"
3181,Hanging Up,"['The Proprietor', 'Slaves of New York', 'Lovely & Amazing', 'Tortilla Soup', ""L'associé""]"
3182,Pitch Black,"['Star Trek III: The Search for Spock', 'Night Watch', 'Alone in the Dark', 'Flash Gordon Conquers the Universe', 'Dr. Who and the Daleks']"
3183,The Whole Nine Yards,"['P.S. Your Cat Is Dead!', 'The Shawshank Redemption', 'The In-Laws', 'Normal Life', 'The Whole Ten Yards']"
3184,Beautiful People,"['Into the Arms of Strangers: Stories of the Kindertransport', 'The Long Way Home', 'Mrs. Miniver', 'The Life and Death of Colonel Blimp', 'Catch-22']"
3185,Black Tar Heroin: The Dark End of the Street,"['Shadows', 'Never Met Picasso', 'The Kentucky Fried Movie', ""It's All True"", 'The Naked Kiss']"
3186,Blue Collar,"['Norma Rae', 'Last Exit to Brooklyn', 'Gung Ho', 'Odds Against Tomorrow', 'The Proprietor']"
3187,Bluebeard,"['Frenzy', 'Sudden Impact', 'Rope', 'Roadgames', 'Where Sleeping Dogs Lie']"
3188,The Circus,"['My Best Girl', 'The Unknown', 'Pajama Party', 'City Lights', 'The Red Dwarf']"
3189,City Lights,"['Shadows', 'The Kentucky Fried Movie', 'The Independent', 'Never Met Picasso', 'Dolls']"
3190,The Flamingo Kid,"['Nothing in Common', 'A Night in the Life of Jimmy Reardon', 'Honeysuckle Rose', 'Just Looking', 'Stardust Memories']"
3191,A Dog's Life,"['The Italian Job', 'Mr. Mom', 'The Ladies Man', 'Beethoven', 'The New Age']"
3192,The Kid,"['Lovely & Amazing', 'Modern Times', 'City Lights', 'Ed and His Dead Mother', 'Intervista']"
3193,The Man from Laramie,"['The City of No Limits', 'Cimarron', 'Raining Stones', 'Big Jake', 'Red River']"
3194,The Wild McCullochs,"['The Amati Girls', 'I Love You, I Love You Not', 'The Girl', 'The Proprietor', 'Slaves of New York']"
3195,Class Reunion,"['Teaching Mrs. Tingle', 'The Wrong Guys', 'The Slumber Party Massacre', ""Max Keeble's Big Move"", 'Pygmalion']"
3196,The Big Trees,"[""Finian's Rainbow"", 'Age of Consent', 'Cahill U.S. Marshal', ""Curtis's Charm"", 'Pursued']"
3197,Happy Go Lovely,"['Flying Down to Rio', 'Pennies from Heaven', 'How to Marry a Millionaire', 'The Boys from County Clare', 'Joseph and the Amazing Technicolor Dreamcoat']"
3198,Reindeer Games,"['Penitentiary II', 'Auggie Rose', 'Stripes', 'The Boxer', 'P.S. Your Cat Is Dead!']"
3199,Wonder Boys,"[""Peter's Friends"", 'Horse Feathers', 'The Paper Chase', 'From the Hip', 'Tycoon']"
3200,Deterrence,"['When Strangers Appear', 'The Girl', 'Diner', 'The Proprietor', 'Slaves of New York']"
3201,Judy Berlin,"['Out Cold', 'Lovely & Amazing', ""L'associé"", 'Snow days', 'Honeymoon']"
3202,Mifune,"['Honeysuckle Rose', 'Wilson', 'Commandments', 'P.S. Your Cat Is Dead!', 'Kabhi Khushi Kabhie Gham']"
3203,The Waiting Game,"['WiseGirls', 'Nola', 'The Incident', 'Romantic Comedy', 'Hello, Dolly!']"
3204,3 Strikes,"['Dog Park', 'The Low Down', 'The Truman Show', 'Commandments', 'Rolling Thunder']"
3205,Chain of Fools,"['Laura', 'Snow days', 'Triggermen', 'Excess Baggage', 'Underclassman']"
3206,Drowning Mona,"['The Big Easy', 'Phantom Lady', 'Laura', 'Mulholland Falls', 'Sea of Love']"
3207,The Next Best Thing,"['Jeffrey', 'A Home at the End of the World', 'Boat Trip', 'Madagascar Skin', 'The Broken Hearts Club: A Romantic Comedy']"
3208,What Planet Are You From?,"['The Man Who Fell to Earth', ""The Slugger's Wife"", 'About a Boy', 'Jinxed!', 'No Looking Back']"
3209,Beyond the Mat,"['Hitman Hart: Wrestling with Shadows', 'No Holds Barred', 'The Backyard', 'Ready to Rumble', '...All the Marbles']"
3210,Ghost Dog: The Way of the Samurai,"['Donnie Brasco', ""Prizzi's Honor"", 'The Proprietor', 'Slaves of New York', 'The Quickie']"
3211,The Year My Voice Broke,"['Moonlight Mile', 'Zebrahead', 'Tom & Viv', 'Lan Yu', 'The Low Down']"
3212,Splendor in the Grass,"['A Little Romance', 'Ruby Gentry', ""L'eclisse"", 'The Umbrella Woman', 'The Girl']"
3213,My Tutor,"['Bully', 'Dream a Little Dream', 'All the Little Animals', 'Beyond the Sea', 'Nothing in Common']"
3214,The Legend of Lobo,"['Men of Respect', 'The Adventures of the Wilderness Family', 'Nicholas Nickleby', 'Stuart Little 2', 'Flight of the Navigator']"
3215,The Killing of Sister George,"['The Amati Girls', 'Sister My Sister', 'She Hate Me', 'The Out of Towners', 'Dancing at Lughnasa']"
3216,Key Largo,"['The Million Dollar Hotel', 'A Hole in the Head', 'California Suite', 'Dirty Pretty Things', 'Mystery Train']"
3217,Jail Bait,"['Tuvalu', 'Bad Company', 'Gloria', 'Dial M for Murder', 'Foolproof']"
3218,It Happened Here,"['A Self-Made Hero', 'The Life and Death of Colonel Blimp', 'House of Fools', 'The White Cliffs of Dover', 'The Unknown Soldier']"
3219,I'll Never Forget What's'isname,"['The Inheritance', 'The Truman Show', 'Sonny', 'How to Get Ahead in Advertising', 'Stardust Memories']"
3220,For All Mankind,"['Latcho Drom', ""It's All True"", 'D.O.A.', 'Just an American Boy', 'Fahrenhype 9/11']"
3221,Cross of Iron,"['Mirror', 'The Diaries of Vaslav Nijinsky', 'The Human Condition II: Road to Eternity', 'Stripes', ""Hart's War""]"
3222,Bride of the Monster,"['Return of the Fly', 'Charly', 'Dr. Jekyll and Mr. Hyde', 'The Killer Shrews', 'Indestructible Man']"
3223,Born Yesterday,"['Snow days', 'The Girl', 'College', 'Nothing in Common', 'The Proprietor']"
3224,Birdy,"['Gardens of Stone', 'Colonel Chabert', 'Commandments', 'Crazy People', ""Spencer's Mountain""]"
3225,And God Created Woman,"['Snow days', ""Buffalo '66"", 'The Girl', 'Lovely & Amazing', 'The Proprietor']"
3226,Blood Feast,"['Curdled', 'Mass Appeal', 'Color Me Blood Red', 'Popcorn', 'The Boogey Man']"
3227,"Charlie, the Lonesome Cougar","['Tarzan', 'Surviving the Game', 'Stuart Little 2', 'The Adventures of the Wilderness Family', 'White Fang']"
3228,Color Me Blood Red,"['The Driller Killer', 'An Ideal Husband', 'Motel Hell', 'The Last Horror Movie', 'Premature Burial']"
3229,Never Cry Wolf,"['The Bloody Child', 'Owning Mahowny', ""Mockingbird Don't Sing"", 'Wolves', 'The Whales of August']"
3230,The Night Visitor,"['Theatre of Blood', 'Violent City', 'Indestructible Man', 'Stark Raving Mad', 'The Professional']"
3231,The Perils of Pauline,"['Jersey Girl', 'S.O.B.', ""Cats Don't Dance"", 'Dangerous Game', 'The Last Tycoon']"
3232,A Raisin in the Sun,"['The Inheritance', 'The Umbrella Woman', 'Nicholas Nickleby', 'The Visit', 'Daddy and Them']"
3233,Two Thousand Maniacs!,"['Theatre of Blood', 'The Barber', 'The Boogens', 'The Giant Gila Monster', ""Salem's Lot""]"
3234,Brown's Requiem,"['Shiloh', 'Mirage', 'Dog Park', ""Murphy's Law"", 'The Life and Death of Peter Sellers']"
3235,The Closer You Get,"['Snow days', 'Jersey Girl', 'Guantanamera', 'A Smile Like Yours', 'Never Again']"
3236,Mission to Mars,"['The Angry Red Planet', 'Red Planet', 'Conquest of Space', 'Robinson Crusoe on Mars', 'Stranded']"
3237,The Ninth Gate,"['I, Madman', 'A Murder of Crows', 'The Omega Code', 'Saturday the 14th', 'The Pillow Book']"
3238,Condo Painting,"['28 Up', 'Badding', ""L'associé"", 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'A Boy Called Hate']"
3239,East/West,"['No One Writes to the Colonel', 'The Inheritance', 'Honeysuckle Rose', 'The Eel', 'The Boxer']"
3240,Defending Your Life,"['Heart and Souls', 'Being Human', 'The Proprietor', 'Slaves of New York', ""L'associé""]"
3241,Breaking Away,"['Parents', ""River's Edge"", 'The Brown Bunny', 'A Better Place', 'Benji: Off the Leash!']"
3242,Hoosiers,"['Sunset Park', 'Coach Carter', 'Late Bloomers', 'The Air Up There', 'Space Jam']"
3243,Bull Durham,"['Snow days', 'Summer Catch', 'Mr. Baseball', 'A League of Their Own', 'The Bad News Bears Go to Japan']"
3244,Dog Day Afternoon,"['Pups', 'Stander', 'Normal Life', ""Heaven's Burning"", 'Metro']"
3245,American Graffiti,"['More American Graffiti', 'The Proprietor', 'Slaves of New York', 'Fandango', 'The Graduate']"
3246,The Asphalt Jungle,"['The Postman Always Rings Twice', 'Act of Violence', 'White Heat', 'The Getaway', 'Desperate Hours']"
3247,The Searchers,"['Love Me Tender', 'Shenandoah', 'The Beguiled', 'Bad Company', 'The Proprietor']"
3248,The Devil's Brigade,"['Why We Fight: Prelude to War', 'The Kentucky Fried Movie', 'Never Met Picasso', 'The Birth of a Nation', 'House of Fools']"
3249,The Big Country,"['Chisum', 'Rancho Deluxe', 'Giant', 'Alvarez Kelly', 'Love Me Tender']"
3250,Any Number Can Win,"['Bob le Flambeur', 'The Good Thief', 'Le Trou', 'Thief', 'Sexy Beast']"
3251,Betrayed,"['The Girl', 'Mississippi Burning', 'Slaughter of the Innocents', 'Condition Red', 'The Black Orchid']"
3252,Bound for Glory,"['Of Mice and Men', 'Starstruck', 'Five Easy Pieces', 'The Amazing Quest of Ernest Bliss', 'Stardust Memories']"
3253,The Bridge at Remagen,"['The Young Lions', 'Saints and Soldiers', 'Midway', 'We Were Soldiers', 'The Last Valley']"
3254,Buck and the Preacher,"['Zachariah', 'Simon Sez', 'Wise Blood', ""L'associé"", 'Hot Lead & Cold Feet']"
3255,Daughters of the Dust,"['Conrack', 'The Girl', 'Father Goose', 'The Proprietor', 'Slaves of New York']"
3256,Destination Moon,"['Project Moon Base', 'First Men in the Moon', 'The Adventures of Pluto Nash', 'Cat-Women of the Moon', 'A Grand Day Out']"
3257,The Fantastic Night,"['Puddle Cruiser', 'Full Speed', 'A Chinese Ghost Story', 'Fresh Horses', 'The Last Time I Saw Paris']"
3258,Hangmen Also Die!,"['Mother Night', ""Puppet Master III Toulon's Revenge"", 'The Man Who Knew Too Much', 'Mephisto', 'The Desert Fox: The Story of Rommel']"
3259,The Ogre,"['Midway', 'The Life and Death of Colonel Blimp', 'Regeneration', 'A Self-Made Hero', 'The Beguiled']"
3260,On the Beach,"['In My Country', '20,000 Leagues Under the Sea', 'The Umbrella Woman', 'Run Silent, Run Deep', 'Chicago Joe and the Showgirl']"
3261,Railroaded!,"['He Walked by Night', 'Macao', 'Romeo Is Bleeding', 'The Umbrella Woman', 'Next of Kin']"
3262,Slaves to the Underground,"['Eddie and the Cruisers II: Eddie Lives!', ""Pot o' Gold"", 'I Am Trying to Break Your Heart', 'The Commitments', 'Jimmy Hollywood']"
3263,Song of Freedom,"['Honeysuckle Rose', 'The Truman Show', 'Easy Money', 'The Code', 'Till Human Voices Wake Us']"
3264,Big Fella,"['A Hole in the Head', 'Here Comes Mr. Jordan', 'Honeysuckle Rose', 'The Glass Menagerie', 'Song of the South']"
3265,The Taking of Pelham One Two Three,"['Nighthawks', 'Money Train', 'Trapped', 'Mr. Majestyk', 'The River Wild']"
3266,Volunteers,"['Nothing in Common', 'Joe the King', ""What's New Pussycat?"", ""Spencer's Mountain"", 'Halfaouine: Boy of the Terraces']"
3267,JFK,"['Executive Action', 'I as in Icarus', 'The Day of the Jackal', 'Patriot Games', 'Azumi']"
3268,Who's Harry Crumb?,"['Love at Large', 'Oh Heavenly Dog', 'Dragnet', 'Zero Effect', 'Gorky Park']"
3269,Harry and the Hendersons,"['Rat', ""What's Cooking?"", 'Dearest Relatives, Poisonous Relations', 'Spider Baby', 'Our Hospitality']"
3270,Let's Get Harry,"['High Risk', 'True Lies', 'Oxygen', 'Guerrilla: The Taking of Patty Hearst', 'Proof of Life']"
3271,Shanghai Surprise,"['A Boy Called Hate', 'Coffy', 'The Public Enemy', 'The Wrong Box', 'I Walked with a Zombie']"
3272,Who's That Girl,"['Raising Helen', 'Stage Fright', 'Caddyshack II', 'Naked in New York', 'Birthday Girl']"
3273,She-Devil,"['Snow days', 'Theatre of Blood', 'The Night Visitor', 'Cousins', 'Afterglow']"
3274,Date With an Angel,"['A Guy Thing', ""Curtis's Charm"", 'Heaven Can Wait', 'How to Get Ahead in Advertising', 'Raining Stones']"
3275,Blind Date,"['The Trouble with Girls', 'Snow days', 'Roger Dodger', 'When a Man Loves a Woman', 'Nothing in Common']"
3276,Nadine,"['Deathtrap', 'Still of the Night', 'Physical Evidence', 'Snow days', 'Stark Raving Mad']"
3277,The Muppet Movie,"['The Great Muppet Caper', 'The Muppets Take Manhattan', 'Muppets from Space', ""That's Entertainment! III"", 'ivans xtc.']"
3278,The Great Muppet Caper,"['The Muppet Movie', 'A Month by the Lake', 'Beautiful', 'The Muppets Take Manhattan', 'Sabrina']"
3279,The Muppets Take Manhattan,"['The Muppet Movie', '42nd Street', ""You'll Never Get Rich"", 'Hello, Dolly!', ""That's Entertainment! III""]"
3280,Sesame Street Presents Follow That Bird,"[""Cats Don't Dance"", '42nd Street', 'Bedknobs and Broomsticks', 'The Pirate Movie', 'Hansel & Gretel']"
3281,We're Back! A Dinosaur's Story,"['Theodore Rex', 'Dinosaur', 'The Return of Swamp Thing', 'Hello, Dolly!', 'Where the Heart Is']"
3282,Baby: Secret of the Lost Legend,"['Kazaam', 'The Son of Kong', 'The Meteor Man', 'Babylon 5: The River of Souls', 'The Book of Fate']"
3283,Turtle Diary,"['Snow days', 'Afterglow', 'About Last Night...', 'Next Stop Wonderland', 'The Girl']"
3284,Raise the Titanic,"['The Girl', 'The Proprietor', 'Slaves of New York', 'Chronicles', 'Condition Red']"
3285,Titanic,"['A Night to Remember', 'Author! Author!', 'Love Me Tender', 'Titanic', 'The Girl']"
3286,A Night to Remember,"['Titanic', 'Titanic', 'The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach']"
3287,Captain Horatio Hornblower R.N.,"['The Man Who Would Be King', 'Two Men Went To War', 'The Charge of the Light Brigade', 'The Pride and the Passion', 'Beyond the Poseidon Adventure']"
3288,The Carriers Are Waiting,"['Read My Lips', 'Under The Domim Tree', 'Kaspar Hauser', 'Guantanamera', 'French Cancan']"
3289,Erin Brockovich,"['The Proprietor', 'Slaves of New York', 'Raggedy Man', ""Virginia's Run"", 'The Intruder']"
3290,Final Destination,"['Tales of Terror', 'Final Destination 2', ""Lemora: A Child's Tale of the Supernatural"", 'Riding the Bullet', 'Bones']"
3291,Soft Fruit,"['Send Me No Flowers', 'Since Otar Left', 'A Family Thing', 'My Architect', 'Touch of Pink']"
3292,Babymother,"[""Virginia's Run"", 'Postcards from the Edge', 'Claire Dolan', 'Prince of Central Park', 'Divine Secrets of the Ya-Ya Sisterhood']"
3293,The Bear,"['The Adventures of the Wilderness Family', 'Benji the Hunted', 'The Proprietor', 'Slaves of New York', 'The Second Jungle Book: Mowgli & Baloo']"
3294,Impact,"['Inferno', 'Passion of Mind', 'Blood Simple', 'The Fan', 'Memento']"
3295,Love Is a Many-Splendored Thing,"['The World of Suzie Wong', 'The Girl', 'The Black Orchid', 'Foreign Student', 'Century']"
3296,Mirror,"['The Inheritance', 'Wilson', 'Honeysuckle Rose', 'Long Live Death', 'All the Mornings of the World']"
3297,The Crimson Pirate,"['The Black Pirate', 'Captain Kidd', 'Captain Horatio Hornblower R.N.', 'The Light at the Edge of the World', 'Shipwrecked']"
3298,Thelma & Louise,"['Point Blank', '...All the Marbles', 'Rich and Famous', 'Song of the Thin Man', 'The Killers']"
3299,Something For Everyone,"['The Low Down', 'The Inheritance', 'Stardust Memories', 'Crane World', 'The Visit']"
3300,...And Justice for All,"['A Time to Kill', 'Anatomy of a Murder', 'The Star Chamber', 'Breaker! Breaker!', 'Lipstick']"
3301,Animal House,"['Vamp', 'Girl Crazy', 'Revenge of the Nerds', 'More American Graffiti', 'National Lampoon’s Van Wilder']"
3302,She's Gotta Have It,"['Snow days', 'She Hate Me', 'Unmade Beds', 'All Over the Guy', ""I'm with Lucy""]"
3303,School Daze,"['The Proprietor', 'Slaves of New York', 'She Hate Me', 'California Suite', '1776']"
3304,Do the Right Thing,"['The Proprietor', 'Slaves of New York', 'Ordinary Sinner', 'Crooklyn', 'The Night of the Following Day']"
3305,Mo' Better Blues,"['All the Mornings of the World', 'Honeysuckle Rose', 'How to Get Ahead in Advertising', 'Benji: Off the Leash!', 'Shampoo']"
3306,Jungle Fever,"['The Girl', 'Ruby Gentry', 'The Proprietor', 'Slaves of New York', ""L'eclisse""]"
3307,Coogan's Bluff,"['Condition Red', 'The Big Bird Cage', ""We're No Angels"", 'The Package', 'A Further Gesture']"
3308,The Champ,"['The Sum of Us', 'The Kid Brother', 'Random Harvest', 'The Beastmaster', 'The Barretts of Wimpole Street']"
3309,Creature Comforts,"['One Hundred and One Dalmatians', 'The Animatrix', 'Fun & Fancy Free', 'Once Upon a Forest', 'A Close Shave']"
3310,Death Wish,"['Death Wish 2', 'The Exterminator', 'Midnight Cowboy', 'Death Wish 5: The Face of Death', 'WiseGirls']"
3311,Death Wish 2,"['Death Wish 5: The Face of Death', 'No Mercy', 'Death Wish', 'Stark Raving Mad', 'The Long Goodbye']"
3312,Death Wish 3,"['Death Wish 2', 'Misery', 'Death Wish', 'Smoke', 'Les Enfants Terribles']"
3313,Death Wish 4: The Crackdown,"['Never Die Alone', 'Pusher', 'Fatal Beauty', 'No Way Home', 'An Eye for an Eye']"
3314,Death Wish 5: The Face of Death,"['Death Wish 2', 'Class of 1984', 'No Mercy', 'Coffy', 'Death Wish']"
3315,Double Indemnity,"['The Blue Dahlia', 'Deathtrap', 'Phantom Lady', 'The Temp', 'Dial M for Murder']"
3316,Dying Young,"['Jersey Girl', 'The Object of My Affection', ""L'eclisse"", 'The Velocity of Gary', 'Love Letter']"
3317,Cool as Ice,"['Nothing in Common', 'No Looking Back', 'Rare Birds', 'North Star', 'The Spoilers']"
3318,Teenage Mutant Ninja Turtles,"['Teenage Mutant Ninja Turtles II: The Secret of the Ooze', 'Teenage Mutant Ninja Turtles III', 'American Ninja 5', 'The Son of Kong', 'The Octagon']"
3319,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"['Teenage Mutant Ninja Turtles', 'Teenage Mutant Ninja Turtles III', 'Baby: Secret of the Lost Legend', 'American Ninja 2: The Confrontation', 'The Stepford Wives']"
3320,Teenage Mutant Ninja Turtles III,"['Teenage Mutant Ninja Turtles II: The Secret of the Ooze', 'Teenage Mutant Ninja Turtles', 'The Challenge', 'Samurai I: Musashi Miyamoto', 'Baby: Secret of the Lost Legend']"
3321,Red Dawn,"['Light It Up', 'Late Bloomers', 'The Substitute', 'There Goes My Baby', 'Enigma']"
3322,Band of the Hand,"['State Property 2', 'The Proprietor', 'Slaves of New York', 'Death Wish', 'Rumble Fish']"
3323,Born American,"['Home Room', 'Hostile Intentions', 'The Proprietor', 'Slaves of New York', 'Anna Karenina']"
3324,Bloodsport,"['Last Hurrah for Chivalry', 'The Blood of Heroes', 'The Man with the Golden Gun', 'The Big Brawl', 'The Running Man']"
3325,Eyes of Laura Mars,"['The Girl', 'The Last Horror Movie', 'The Proprietor', 'Slaves of New York', 'Eye of the Beholder']"
3326,Funny Bones,"['How to Get Ahead in Advertising', 'Unstrung Heroes', 'Pauly Shore Is Dead', 'Long Live Death', 'Star Maps']"
3327,The Good Earth,"['Shoot the Moon', 'Love Finds Andy Hardy', 'Red Corner', 'Anna Karenina', 'It Runs in the Family']"
3328,"Good Morning, Vietnam","['A Self-Made Hero', 'The Life and Death of Colonel Blimp', 'Casualties of War', 'We Were Soldiers', 'Heartbreak Ridge']"
